Sr. No.,Message,Type,Date/Time
1,Invoice '191963FCSN454005697' synced successfully.,Info,25-03-2026 14:45:17
2,No invoices found in selected range,Info,25-03-2026 14:45:15
3,invoice saved successfully,Success,25-03-2026 14:45:05
4,404:Unsynced Data not found.,Info,25-03-2026 14:44:57
5,404:Unsynced Data not found.,Info,25-03-2026 14:44:36
6,404:Unsynced Data not found.,Info,25-03-2026 14:44:16
7,404:Unsynced Data not found.,Info,25-03-2026 14:43:56
8,404:Unsynced Data not found.,Info,25-03-2026 14:43:36
9,404:Unsynced Data not found.,Info,25-03-2026 14:43:16
10,404:Unsynced Data not found.,Info,25-03-2026 14:42:55
11,404:Unsynced Data not found.,Info,25-03-2026 14:42:35
12,404:Unsynced Data not found.,Info,25-03-2026 14:42:15
13,404:Unsynced Data not found.,Info,25-03-2026 14:41:55
14,404:Unsynced Data not found.,Info,25-03-2026 14:41:35
15,404:Unsynced Data not found.,Info,25-03-2026 14:41:14
16,404:Unsynced Data not found.,Info,25-03-2026 14:40:54
17,404:Unsynced Data not found.,Info,25-03-2026 14:40:34
18,404:Unsynced Data not found.,Info,25-03-2026 14:40:14
19,404:Unsynced Data not found.,Info,25-03-2026 14:39:53
20,404:Unsynced Data not found.,Info,25-03-2026 14:39:33
21,404:Unsynced Data not found.,Info,25-03-2026 14:39:13
22,404:Unsynced Data not found.,Info,25-03-2026 14:38:53
23,404:Unsynced Data not found.,Info,25-03-2026 14:38:33
24,404:Unsynced Data not found.,Info,25-03-2026 14:38:12
25,404:Unsynced Data not found.,Info,25-03-2026 14:37:52
26,404:Unsynced Data not found.,Info,25-03-2026 14:37:32
27,404:Unsynced Data not found.,Info,25-03-2026 14:37:12
28,404:Unsynced Data not found.,Info,25-03-2026 14:36:52
29,404:Unsynced Data not found.,Info,25-03-2026 14:36:31
30,404:Unsynced Data not found.,Info,25-03-2026 14:36:11
31,404:Unsynced Data not found.,Info,25-03-2026 14:35:51
32,404:Unsynced Data not found.,Info,25-03-2026 14:35:31
33,404:Unsynced Data not found.,Info,25-03-2026 14:35:11
34,404:Unsynced Data not found.,Info,25-03-2026 14:34:50
35,404:Unsynced Data not found.,Info,25-03-2026 14:34:30
36,404:Unsynced Data not found.,Info,25-03-2026 14:34:10
37,404:Unsynced Data not found.,Info,25-03-2026 14:33:50
38,404:Unsynced Data not found.,Info,25-03-2026 14:33:30
39,404:Unsynced Data not found.,Info,25-03-2026 14:33:09
40,404:Unsynced Data not found.,Info,25-03-2026 14:32:49
41,404:Unsynced Data not found.,Info,25-03-2026 14:32:29
42,404:Unsynced Data not found.,Info,25-03-2026 14:32:09
43,404:Unsynced Data not found.,Info,25-03-2026 14:31:49
44,404:Unsynced Data not found.,Info,25-03-2026 14:31:28
45,404:Unsynced Data not found.,Info,25-03-2026 14:31:08
46,404:Unsynced Data not found.,Info,25-03-2026 14:30:48
47,404:Unsynced Data not found.,Info,25-03-2026 14:30:28
48,404:Unsynced Data not found.,Info,25-03-2026 14:30:08
49,404:Unsynced Data not found.,Info,25-03-2026 14:29:47
50,404:Unsynced Data not found.,Info,25-03-2026 14:29:27
51,404:Unsynced Data not found.,Info,25-03-2026 14:29:07
52,404:Unsynced Data not found.,Info,25-03-2026 14:28:47
53,404:Unsynced Data not found.,Info,25-03-2026 14:28:27
54,404:Unsynced Data not found.,Info,25-03-2026 14:28:06
55,404:Unsynced Data not found.,Info,25-03-2026 14:27:46
56,404:Unsynced Data not found.,Info,25-03-2026 14:27:26
57,404:Unsynced Data not found.,Info,25-03-2026 14:27:06
58,404:Unsynced Data not found.,Info,25-03-2026 14:26:46
59,404:Unsynced Data not found.,Info,25-03-2026 14:26:25
60,404:Unsynced Data not found.,Info,25-03-2026 14:26:05
61,404:Unsynced Data not found.,Info,25-03-2026 14:25:45
62,404:Unsynced Data not found.,Info,25-03-2026 14:25:25
63,404:Unsynced Data not found.,Info,25-03-2026 14:25:05
64,404:Unsynced Data not found.,Info,25-03-2026 14:24:44
65,404:Unsynced Data not found.,Info,25-03-2026 14:24:24
66,404:Unsynced Data not found.,Info,25-03-2026 14:24:04
67,404:Unsynced Data not found.,Info,25-03-2026 14:23:44
68,404:Unsynced Data not found.,Info,25-03-2026 14:23:24
69,404:Unsynced Data not found.,Info,25-03-2026 14:23:03
70,404:Unsynced Data not found.,Info,25-03-2026 14:22:43
71,404:Unsynced Data not found.,Info,25-03-2026 14:22:23
72,404:Unsynced Data not found.,Info,25-03-2026 14:22:03
73,404:Unsynced Data not found.,Info,25-03-2026 14:21:43
74,404:Unsynced Data not found.,Info,25-03-2026 14:21:22
75,404:Unsynced Data not found.,Info,25-03-2026 14:21:02
76,404:Unsynced Data not found.,Info,25-03-2026 14:20:42
77,404:Unsynced Data not found.,Info,25-03-2026 14:20:22
78,404:Unsynced Data not found.,Info,25-03-2026 14:20:02
79,404:Unsynced Data not found.,Info,25-03-2026 14:19:42
80,404:Unsynced Data not found.,Info,25-03-2026 14:19:21
81,404:Unsynced Data not found.,Info,25-03-2026 14:19:01
82,404:Unsynced Data not found.,Info,25-03-2026 14:18:41
83,404:Unsynced Data not found.,Info,25-03-2026 14:18:21
84,404:Unsynced Data not found.,Info,25-03-2026 14:18:01
85,404:Unsynced Data not found.,Info,25-03-2026 14:17:40
86,404:Unsynced Data not found.,Info,25-03-2026 14:17:20
87,404:Unsynced Data not found.,Info,25-03-2026 14:17:00
88,404:Unsynced Data not found.,Info,25-03-2026 14:16:40
89,404:Unsynced Data not found.,Info,25-03-2026 14:16:19
90,404:Unsynced Data not found.,Info,25-03-2026 14:15:59
91,404:Unsynced Data not found.,Info,25-03-2026 14:15:39
92,404:Unsynced Data not found.,Info,25-03-2026 14:15:19
93,404:Unsynced Data not found.,Info,25-03-2026 14:14:59
94,404:Unsynced Data not found.,Info,25-03-2026 14:14:38
95,404:Unsynced Data not found.,Info,25-03-2026 14:14:18
96,404:Unsynced Data not found.,Info,25-03-2026 14:13:58
97,404:Unsynced Data not found.,Info,25-03-2026 14:13:38
98,404:Unsynced Data not found.,Info,25-03-2026 14:13:18
99,404:Unsynced Data not found.,Info,25-03-2026 14:12:58
100,404:Unsynced Data not found.,Info,25-03-2026 14:12:37
101,404:Unsynced Data not found.,Info,25-03-2026 14:12:17
102,404:Unsynced Data not found.,Info,25-03-2026 14:11:57
103,404:Unsynced Data not found.,Info,25-03-2026 14:11:37
104,404:Unsynced Data not found.,Info,25-03-2026 14:11:17
105,404:Unsynced Data not found.,Info,25-03-2026 14:10:56
106,404:Unsynced Data not found.,Info,25-03-2026 14:10:36
107,404:Unsynced Data not found.,Info,25-03-2026 14:10:16
108,404:Unsynced Data not found.,Info,25-03-2026 14:09:56
109,404:Unsynced Data not found.,Info,25-03-2026 14:09:35
110,404:Unsynced Data not found.,Info,25-03-2026 14:09:15
111,404:Unsynced Data not found.,Info,25-03-2026 14:08:55
112,404:Unsynced Data not found.,Info,25-03-2026 14:08:35
113,404:Unsynced Data not found.,Info,25-03-2026 14:08:15
114,404:Unsynced Data not found.,Info,25-03-2026 14:07:55
115,404:Unsynced Data not found.,Info,25-03-2026 14:07:34
116,404:Unsynced Data not found.,Info,25-03-2026 14:07:14
117,404:Unsynced Data not found.,Info,25-03-2026 14:06:54
118,404:Unsynced Data not found.,Info,25-03-2026 14:06:34
119,404:Unsynced Data not found.,Info,25-03-2026 14:06:13
120,404:Unsynced Data not found.,Info,25-03-2026 14:05:53
121,404:Unsynced Data not found.,Info,25-03-2026 14:05:33
122,404:Unsynced Data not found.,Info,25-03-2026 14:05:13
123,404:Unsynced Data not found.,Info,25-03-2026 14:04:53
