Sr. No.,Message,Type,Date/Time
1,404:Unsynced Data not found.,Info,13-04-2026 16:19:14
2,404:Unsynced Data not found.,Info,13-04-2026 16:18:54
3,Invoice '191963FDGP1832949204' synced successfully.,Info,13-04-2026 16:18:33
4,invoice saved successfully,Success,13-04-2026 16:18:33
5,404:Unsynced Data not found.,Info,13-04-2026 16:18:13
6,404:Unsynced Data not found.,Info,13-04-2026 16:17:52
7,404:Unsynced Data not found.,Info,13-04-2026 16:17:32
8,404:Unsynced Data not found.,Info,13-04-2026 16:17:12
9,404:Unsynced Data not found.,Info,13-04-2026 16:16:52
10,404:Unsynced Data not found.,Info,13-04-2026 16:16:31
11,404:Unsynced Data not found.,Info,13-04-2026 16:16:11
12,404:Unsynced Data not found.,Info,13-04-2026 16:15:51
13,404:Unsynced Data not found.,Info,13-04-2026 16:15:31
14,Invoice '191963FDGP154735423' synced successfully.,Info,13-04-2026 16:15:11
15,invoice saved successfully,Success,13-04-2026 16:15:05
16,404:Unsynced Data not found.,Info,13-04-2026 16:14:50
17,404:Unsynced Data not found.,Info,13-04-2026 16:14:30
18,404:Unsynced Data not found.,Info,13-04-2026 16:14:10
19,404:Unsynced Data not found.,Info,13-04-2026 16:13:50
20,404:Unsynced Data not found.,Info,13-04-2026 16:13:29
21,404:Unsynced Data not found.,Info,13-04-2026 16:13:09
22,404:Unsynced Data not found.,Info,13-04-2026 16:12:49
23,404:Unsynced Data not found.,Info,13-04-2026 16:12:29
24,404:Unsynced Data not found.,Info,13-04-2026 16:12:09
25,404:Unsynced Data not found.,Info,13-04-2026 16:11:48
26,404:Unsynced Data not found.,Info,13-04-2026 16:11:28
27,404:Unsynced Data not found.,Info,13-04-2026 16:11:08
28,404:Unsynced Data not found.,Info,13-04-2026 16:10:48
29,404:Unsynced Data not found.,Info,13-04-2026 16:10:28
30,404:Unsynced Data not found.,Info,13-04-2026 16:10:07
31,404:Unsynced Data not found.,Info,13-04-2026 16:09:47
32,404:Unsynced Data not found.,Info,13-04-2026 16:09:27
33,404:Unsynced Data not found.,Info,13-04-2026 16:09:07
34,"4/13/2026 4:08:47 PM, DbInsertIssue: SQLite Error 5: 'database is locked'.",Exception,13-04-2026 16:08:47
35,404:Unsynced Data not found.,Info,13-04-2026 16:08:47
36,404:Unsynced Data not found.,Info,13-04-2026 16:08:26
37,404:Unsynced Data not found.,Info,13-04-2026 16:08:06
38,404:Unsynced Data not found.,Info,13-04-2026 16:07:46
39,Invoice '191963FDGP78374222' synced successfully.,Info,13-04-2026 16:07:26
40,invoice saved successfully,Success,13-04-2026 16:07:09
41,404:Unsynced Data not found.,Info,13-04-2026 16:07:05
42,404:Unsynced Data not found.,Info,13-04-2026 16:06:45
43,404:Unsynced Data not found.,Info,13-04-2026 16:06:25
44,404:Unsynced Data not found.,Info,13-04-2026 16:06:04
45,404:Unsynced Data not found.,Info,13-04-2026 16:05:44
46,404:Unsynced Data not found.,Info,13-04-2026 16:05:24
47,404:Unsynced Data not found.,Info,13-04-2026 16:05:04
48,404:Unsynced Data not found.,Info,13-04-2026 16:04:44
49,404:Unsynced Data not found.,Info,13-04-2026 16:04:23
50,404:Unsynced Data not found.,Info,13-04-2026 16:04:03
51,404:Unsynced Data not found.,Info,13-04-2026 16:03:43
52,404:Unsynced Data not found.,Info,13-04-2026 16:03:23
53,404:Unsynced Data not found.,Info,13-04-2026 16:03:03
54,404:Unsynced Data not found.,Info,13-04-2026 16:02:42
55,404:Unsynced Data not found.,Info,13-04-2026 16:02:22
56,"4/13/2026 4:02:01 PM, DbInsertIssue: SQLite Error 5: 'database is locked'.",Exception,13-04-2026 16:02:01
57,404:Unsynced Data not found.,Info,13-04-2026 16:02:01
58,POS service started.,Info,13-04-2026 16:02:01
59,POS service started.,Info,13-04-2026 16:02:00
60,POS service stopped.,Info,13-04-2026 16:01:57
61,POS Windows Service Crashed,Error,13-04-2026 16:01:57
62,404:Unsynced Data not found.,Info,13-04-2026 16:01:49
63,404:Unsynced Data not found.,Info,13-04-2026 16:01:29
64,404:Unsynced Data not found.,Info,13-04-2026 16:01:09
65,404:Unsynced Data not found.,Info,13-04-2026 16:00:49
66,404:Unsynced Data not found.,Info,13-04-2026 16:00:28
67,404:Unsynced Data not found.,Info,13-04-2026 16:00:08
68,404:Unsynced Data not found.,Info,13-04-2026 15:59:48
69,404:Unsynced Data not found.,Info,13-04-2026 15:59:28
70,404:Unsynced Data not found.,Info,13-04-2026 15:59:08
71,404:Unsynced Data not found.,Info,13-04-2026 15:58:47
72,404:Unsynced Data not found.,Info,13-04-2026 15:58:27
73,404:Unsynced Data not found.,Info,13-04-2026 15:58:07
74,404:Unsynced Data not found.,Info,13-04-2026 15:57:47
75,404:Unsynced Data not found.,Info,13-04-2026 15:57:27
76,404:Unsynced Data not found.,Info,13-04-2026 15:57:06
77,404:Unsynced Data not found.,Info,13-04-2026 15:56:46
78,404:Unsynced Data not found.,Info,13-04-2026 15:56:26
79,404:Unsynced Data not found.,Info,13-04-2026 15:56:06
80,404:Unsynced Data not found.,Info,13-04-2026 15:55:46
81,404:Unsynced Data not found.,Info,13-04-2026 15:55:25
82,404:Unsynced Data not found.,Info,13-04-2026 15:55:05
83,404:Unsynced Data not found.,Info,13-04-2026 15:54:45
84,404:Unsynced Data not found.,Info,13-04-2026 15:54:25
85,404:Unsynced Data not found.,Info,13-04-2026 15:54:05
86,404:Unsynced Data not found.,Info,13-04-2026 15:53:44
87,404:Unsynced Data not found.,Info,13-04-2026 15:53:24
88,404:Unsynced Data not found.,Info,13-04-2026 15:53:04
89,404:Unsynced Data not found.,Info,13-04-2026 15:52:44
90,404:Unsynced Data not found.,Info,13-04-2026 15:52:24
91,404:Unsynced Data not found.,Info,13-04-2026 15:52:03
92,404:Unsynced Data not found.,Info,13-04-2026 15:51:43
93,404:Unsynced Data not found.,Info,13-04-2026 15:51:23
94,404:Unsynced Data not found.,Info,13-04-2026 15:51:03
95,404:Unsynced Data not found.,Info,13-04-2026 15:50:43
96,404:Unsynced Data not found.,Info,13-04-2026 15:50:22
97,404:Unsynced Data not found.,Info,13-04-2026 15:50:02
98,404:Unsynced Data not found.,Info,13-04-2026 15:49:42
99,404:Unsynced Data not found.,Info,13-04-2026 15:49:22
100,404:Unsynced Data not found.,Info,13-04-2026 15:49:02
101,404:Unsynced Data not found.,Info,13-04-2026 15:48:41
102,404:Unsynced Data not found.,Info,13-04-2026 15:48:21
103,404:Unsynced Data not found.,Info,13-04-2026 15:48:01
104,404:Unsynced Data not found.,Info,13-04-2026 15:47:41
105,404:Unsynced Data not found.,Info,13-04-2026 15:47:21
106,404:Unsynced Data not found.,Info,13-04-2026 15:47:00
107,404:Unsynced Data not found.,Info,13-04-2026 15:46:40
108,404:Unsynced Data not found.,Info,13-04-2026 15:46:20
109,404:Unsynced Data not found.,Info,13-04-2026 15:46:00
