Sr. No.,Message,Type,Date/Time
1,404:Unsynced Data not found.,Info,13-04-2026 16:23:16
2,404:Unsynced Data not found.,Info,13-04-2026 16:22:56
3,404:Unsynced Data not found.,Info,13-04-2026 16:22:36
4,404:Unsynced Data not found.,Info,13-04-2026 16:22:16
5,404:Unsynced Data not found.,Info,13-04-2026 16:21:55
6,404:Unsynced Data not found.,Info,13-04-2026 16:21:35
7,404:Unsynced Data not found.,Info,13-04-2026 16:21:15
8,404:Unsynced Data not found.,Info,13-04-2026 16:20:55
9,404:Unsynced Data not found.,Info,13-04-2026 16:20:35
10,404:Unsynced Data not found.,Info,13-04-2026 16:20:14
11,404:Unsynced Data not found.,Info,13-04-2026 16:19:54
12,404:Unsynced Data not found.,Info,13-04-2026 16:19:34
13,404:Unsynced Data not found.,Info,13-04-2026 16:19:14
14,404:Unsynced Data not found.,Info,13-04-2026 16:18:54
15,Invoice '191963FDGP1832949204' synced successfully.,Info,13-04-2026 16:18:33
16,invoice saved successfully,Success,13-04-2026 16:18:33
17,404:Unsynced Data not found.,Info,13-04-2026 16:18:13
18,404:Unsynced Data not found.,Info,13-04-2026 16:17:52
19,404:Unsynced Data not found.,Info,13-04-2026 16:17:32
20,404:Unsynced Data not found.,Info,13-04-2026 16:17:12
21,404:Unsynced Data not found.,Info,13-04-2026 16:16:52
22,404:Unsynced Data not found.,Info,13-04-2026 16:16:31
23,404:Unsynced Data not found.,Info,13-04-2026 16:16:11
24,404:Unsynced Data not found.,Info,13-04-2026 16:15:51
25,404:Unsynced Data not found.,Info,13-04-2026 16:15:31
26,Invoice '191963FDGP154735423' synced successfully.,Info,13-04-2026 16:15:11
27,invoice saved successfully,Success,13-04-2026 16:15:05
28,404:Unsynced Data not found.,Info,13-04-2026 16:14:50
29,404:Unsynced Data not found.,Info,13-04-2026 16:14:30
30,404:Unsynced Data not found.,Info,13-04-2026 16:14:10
31,404:Unsynced Data not found.,Info,13-04-2026 16:13:50
32,404:Unsynced Data not found.,Info,13-04-2026 16:13:29
33,404:Unsynced Data not found.,Info,13-04-2026 16:13:09
34,404:Unsynced Data not found.,Info,13-04-2026 16:12:49
35,404:Unsynced Data not found.,Info,13-04-2026 16:12:29
36,404:Unsynced Data not found.,Info,13-04-2026 16:12:09
37,404:Unsynced Data not found.,Info,13-04-2026 16:11:48
38,404:Unsynced Data not found.,Info,13-04-2026 16:11:28
39,404:Unsynced Data not found.,Info,13-04-2026 16:11:08
40,404:Unsynced Data not found.,Info,13-04-2026 16:10:48
41,404:Unsynced Data not found.,Info,13-04-2026 16:10:28
42,404:Unsynced Data not found.,Info,13-04-2026 16:10:07
43,404:Unsynced Data not found.,Info,13-04-2026 16:09:47
44,404:Unsynced Data not found.,Info,13-04-2026 16:09:27
45,404:Unsynced Data not found.,Info,13-04-2026 16:09:07
46,"4/13/2026 4:08:47 PM, DbInsertIssue: SQLite Error 5: 'database is locked'.",Exception,13-04-2026 16:08:47
47,404:Unsynced Data not found.,Info,13-04-2026 16:08:47
48,404:Unsynced Data not found.,Info,13-04-2026 16:08:26
49,404:Unsynced Data not found.,Info,13-04-2026 16:08:06
50,404:Unsynced Data not found.,Info,13-04-2026 16:07:46
51,Invoice '191963FDGP78374222' synced successfully.,Info,13-04-2026 16:07:26
52,invoice saved successfully,Success,13-04-2026 16:07:09
53,404:Unsynced Data not found.,Info,13-04-2026 16:07:05
54,404:Unsynced Data not found.,Info,13-04-2026 16:06:45
55,404:Unsynced Data not found.,Info,13-04-2026 16:06:25
56,404:Unsynced Data not found.,Info,13-04-2026 16:06:04
57,404:Unsynced Data not found.,Info,13-04-2026 16:05:44
58,404:Unsynced Data not found.,Info,13-04-2026 16:05:24
59,404:Unsynced Data not found.,Info,13-04-2026 16:05:04
60,404:Unsynced Data not found.,Info,13-04-2026 16:04:44
61,404:Unsynced Data not found.,Info,13-04-2026 16:04:23
62,404:Unsynced Data not found.,Info,13-04-2026 16:04:03
63,404:Unsynced Data not found.,Info,13-04-2026 16:03:43
64,404:Unsynced Data not found.,Info,13-04-2026 16:03:23
65,404:Unsynced Data not found.,Info,13-04-2026 16:03:03
66,404:Unsynced Data not found.,Info,13-04-2026 16:02:42
67,404:Unsynced Data not found.,Info,13-04-2026 16:02:22
68,"4/13/2026 4:02:01 PM, DbInsertIssue: SQLite Error 5: 'database is locked'.",Exception,13-04-2026 16:02:01
69,404:Unsynced Data not found.,Info,13-04-2026 16:02:01
70,POS service started.,Info,13-04-2026 16:02:01
71,POS service started.,Info,13-04-2026 16:02:00
72,POS service stopped.,Info,13-04-2026 16:01:57
73,POS Windows Service Crashed,Error,13-04-2026 16:01:57
74,404:Unsynced Data not found.,Info,13-04-2026 16:01:49
75,404:Unsynced Data not found.,Info,13-04-2026 16:01:29
76,404:Unsynced Data not found.,Info,13-04-2026 16:01:09
77,404:Unsynced Data not found.,Info,13-04-2026 16:00:49
78,404:Unsynced Data not found.,Info,13-04-2026 16:00:28
79,404:Unsynced Data not found.,Info,13-04-2026 16:00:08
80,404:Unsynced Data not found.,Info,13-04-2026 15:59:48
81,404:Unsynced Data not found.,Info,13-04-2026 15:59:28
82,404:Unsynced Data not found.,Info,13-04-2026 15:59:08
83,404:Unsynced Data not found.,Info,13-04-2026 15:58:47
84,404:Unsynced Data not found.,Info,13-04-2026 15:58:27
85,404:Unsynced Data not found.,Info,13-04-2026 15:58:07
86,404:Unsynced Data not found.,Info,13-04-2026 15:57:47
87,404:Unsynced Data not found.,Info,13-04-2026 15:57:27
88,404:Unsynced Data not found.,Info,13-04-2026 15:57:06
89,404:Unsynced Data not found.,Info,13-04-2026 15:56:46
90,404:Unsynced Data not found.,Info,13-04-2026 15:56:26
91,404:Unsynced Data not found.,Info,13-04-2026 15:56:06
92,404:Unsynced Data not found.,Info,13-04-2026 15:55:46
93,404:Unsynced Data not found.,Info,13-04-2026 15:55:25
94,404:Unsynced Data not found.,Info,13-04-2026 15:55:05
95,404:Unsynced Data not found.,Info,13-04-2026 15:54:45
96,404:Unsynced Data not found.,Info,13-04-2026 15:54:25
97,404:Unsynced Data not found.,Info,13-04-2026 15:54:05
98,404:Unsynced Data not found.,Info,13-04-2026 15:53:44
99,404:Unsynced Data not found.,Info,13-04-2026 15:53:24
100,404:Unsynced Data not found.,Info,13-04-2026 15:53:04
101,404:Unsynced Data not found.,Info,13-04-2026 15:52:44
102,404:Unsynced Data not found.,Info,13-04-2026 15:52:24
103,404:Unsynced Data not found.,Info,13-04-2026 15:52:03
104,404:Unsynced Data not found.,Info,13-04-2026 15:51:43
105,404:Unsynced Data not found.,Info,13-04-2026 15:51:23
106,404:Unsynced Data not found.,Info,13-04-2026 15:51:03
107,404:Unsynced Data not found.,Info,13-04-2026 15:50:43
108,404:Unsynced Data not found.,Info,13-04-2026 15:50:22
109,404:Unsynced Data not found.,Info,13-04-2026 15:50:02
110,404:Unsynced Data not found.,Info,13-04-2026 15:49:42
111,404:Unsynced Data not found.,Info,13-04-2026 15:49:22
112,404:Unsynced Data not found.,Info,13-04-2026 15:49:02
113,404:Unsynced Data not found.,Info,13-04-2026 15:48:41
114,404:Unsynced Data not found.,Info,13-04-2026 15:48:21
115,404:Unsynced Data not found.,Info,13-04-2026 15:48:01
116,404:Unsynced Data not found.,Info,13-04-2026 15:47:41
117,404:Unsynced Data not found.,Info,13-04-2026 15:47:21
118,404:Unsynced Data not found.,Info,13-04-2026 15:47:00
119,404:Unsynced Data not found.,Info,13-04-2026 15:46:40
120,404:Unsynced Data not found.,Info,13-04-2026 15:46:20
121,404:Unsynced Data not found.,Info,13-04-2026 15:46:00
122,404:Unsynced Data not found.,Info,13-04-2026 15:45:39
123,404:Unsynced Data not found.,Info,13-04-2026 15:45:19
124,404:Unsynced Data not found.,Info,13-04-2026 15:44:59
125,404:Unsynced Data not found.,Info,13-04-2026 15:44:39
126,404:Unsynced Data not found.,Info,13-04-2026 15:44:19
127,404:Unsynced Data not found.,Info,13-04-2026 15:43:58
128,404:Unsynced Data not found.,Info,13-04-2026 15:43:38
129,404:Unsynced Data not found.,Info,13-04-2026 15:43:18
130,404:Unsynced Data not found.,Info,13-04-2026 15:42:58
131,404:Unsynced Data not found.,Info,13-04-2026 15:42:37
132,404:Unsynced Data not found.,Info,13-04-2026 15:42:17
133,404:Unsynced Data not found.,Info,13-04-2026 15:41:57
134,404:Unsynced Data not found.,Info,13-04-2026 15:41:37
135,404:Unsynced Data not found.,Info,13-04-2026 15:41:17
136,404:Unsynced Data not found.,Info,13-04-2026 15:40:56
137,404:Unsynced Data not found.,Info,13-04-2026 15:40:36
138,404:Unsynced Data not found.,Info,13-04-2026 15:40:16
139,404:Unsynced Data not found.,Info,13-04-2026 15:39:56
140,404:Unsynced Data not found.,Info,13-04-2026 15:39:36
141,404:Unsynced Data not found.,Info,13-04-2026 15:39:15
142,404:Unsynced Data not found.,Info,13-04-2026 15:38:55
143,404:Unsynced Data not found.,Info,13-04-2026 15:38:35
144,404:Unsynced Data not found.,Info,13-04-2026 15:38:15
145,404:Unsynced Data not found.,Info,13-04-2026 15:37:55
146,404:Unsynced Data not found.,Info,13-04-2026 15:37:34
147,404:Unsynced Data not found.,Info,13-04-2026 15:37:14
148,404:Unsynced Data not found.,Info,13-04-2026 15:36:54
149,404:Unsynced Data not found.,Info,13-04-2026 15:36:34
150,404:Unsynced Data not found.,Info,13-04-2026 15:36:14
151,404:Unsynced Data not found.,Info,13-04-2026 15:35:54
152,404:Unsynced Data not found.,Info,13-04-2026 15:35:33
153,404:Unsynced Data not found.,Info,13-04-2026 15:35:13
154,404:Unsynced Data not found.,Info,13-04-2026 15:34:53
155,404:Unsynced Data not found.,Info,13-04-2026 15:34:33
156,404:Unsynced Data not found.,Info,13-04-2026 15:34:12
157,404:Unsynced Data not found.,Info,13-04-2026 15:33:52
158,404:Unsynced Data not found.,Info,13-04-2026 15:33:32
159,404:Unsynced Data not found.,Info,13-04-2026 15:33:12
160,404:Unsynced Data not found.,Info,13-04-2026 15:32:52
161,404:Unsynced Data not found.,Info,13-04-2026 15:32:32
162,404:Unsynced Data not found.,Info,13-04-2026 15:32:11
163,404:Unsynced Data not found.,Info,13-04-2026 15:31:51
164,404:Unsynced Data not found.,Info,13-04-2026 15:31:31
165,404:Unsynced Data not found.,Info,13-04-2026 15:31:11
166,404:Unsynced Data not found.,Info,13-04-2026 15:30:51
167,404:Unsynced Data not found.,Info,13-04-2026 15:30:30
168,404:Unsynced Data not found.,Info,13-04-2026 15:30:10
169,404:Unsynced Data not found.,Info,13-04-2026 15:29:50
170,404:Unsynced Data not found.,Info,13-04-2026 15:29:30
171,404:Unsynced Data not found.,Info,13-04-2026 15:29:10
172,404:Unsynced Data not found.,Info,13-04-2026 15:28:49
173,404:Unsynced Data not found.,Info,13-04-2026 15:28:29
174,404:Unsynced Data not found.,Info,13-04-2026 15:28:09
